momo_number,customer_crm_name
0554443272,STEP OUT 1969 ENTERPRISE
0597407983,DAYBREAK LTD
0555840114,KOBETENG VENTURES
0541991262,AO-JANOBI ENTERPRISE
0559004659,AGYAPA 2021 TILES ENTERPRISE
0592941641,ARK HOME AVENUE LIMITED
0555676928,D.K. KORANKYE COMPANY LIMITED
0591099492,FMD TRADING ENTERPRISE
0558595560,KWADUYEB ENTERPRISE
0542274498,BY PLANS ENTERPRISE
0242382482,VICKY MART PLUS COMPANY LIMITED
0549764352,RAYCOF CONSTRUCTION AND TRADING LIMITED
0552692478,S.O. OBSTEC ENTERPRISE
0245051341,SUNYONG ENTERPRISE
0558635952,FRANKUS FRANK ENTERPRISE
0557923846,ANASHAARA ENTERPRISE
0598946823,ZEBA ALHASSAN ENTERPRISE
0559224305,MOHAMMED JEWRE ENTERPRISE LIMITED
0557929428,OBOADEE NYAME ADOM BUILDING MATERIALS AND HARDWARE LIMITED
0557928210,SILK ROBE ENTERPRISE
0557939988,EXCELLENT - A VENTURES
0246299715,ADASAM DAYURE ENTERPRISE
0247958510,N.Y. ASADOM ENTERPRISE
0558710753,MOWA ROYAL VENTURES
0557937785,TRUST IN GOD KAPA'S ENTERPRISE
0558806313,INNOVATIVE INVESTMENT SERVICES
0557929868,BLESSED LARY C VENTURES LIMITED
0546421117,ACTIVE HOME MASTERS ENTERPRISE
0240540628,NADUPOK TILES AND CONSTRUCTION
0241870105,OKYEADIE NYAME ENTERPRISE
0246975279,HARICURT VENTURES
0530463156,BRIGHTLINA ENTERPRISE
0541051208,KORAF LIMITED
0593026268,NALEE HAPPY INVESTMENTS
0247253462,ASANTEZ PRESTIGE ENTERPRISE
0243920240,KODNARD 1 ENTERPRISE
0245803494,B. K. B. IN GOD WE TRUST ENTERPRISE
0559163048,ZAKSALMA ENTERPRISE
0598586690,BIG AKOSUA VENTURES
0598933324,BIG SAKYI VENTURES
0241702788,BOSSK ENTERPRISE
0241810147,SERWUSS CONSTRUCTION
0549256435,OPTY VENTURES
0548014387,GREAT ARMS COMPANY LIMITED
0597439283,K.K. OFORI ROOFING ENTERPRISE
0249183143,D-BOAME ENTERPRISE
0557947571,GRANDE FRATELLO
0247060368,KYEI AMPONSAH ENTERPRISE
0240668695,NAYAK 15 VENTURES
0246187237,NTI 02 VENTURES
0558734848,RUTHAI ELECTRICALS AND GENERAL GOODS
0557947298,TOP GIRLS ENTERPRISE
0246401020,DIOLA VENTURES
0558893203,DIVINE GLORY HARDWARE AND DECO.
0555011241,LARRY ZINKY ENTERPRISE
0242501561,KOJO SAKYI ENTERPRISE
0592828045,VEROS SAFE HOME ENTERPRISE
0597406401,K . BOBIE ENTERPRISE
0548202521,TURKFLO ENTERPRISE
0240880801,BLESSING CHILD 2 ENTERPRISE
0240355693,FELTROSE ENTERPRISE
0598590379,NANA F.A. FRIMPONG ENTERPRISE
0598929919,PEE KAY HARDWARE ENTERPRISE
0245116237,KWAKU FOSU ROYAL TRADING ENTERPRISE
0247209931,AFRADUBEA VENTURES
0555169528,ANKMANS ENTERPRISE
0245716497,REPHINE AMAZING GRACE ENTERPRISE
0597403668,ADOM HARDWARES
0557937044,RASHMED ENTERPRISE
0554469694,BEYSCO TRADING ENTERPRISE
0552861182,IF NO TRUST VENTURES
0540454967,ABOVE ALL GLORY ENTERPRISE
0552702080,PETER OSEI BONSU ENTERPRISE
0240838021,SAMBED EXPRESS COMPANY LIMITED
0597405125,GREAT GOD OF MERCY ENTERPRISE
0242019841,KWADWO GYABENG ENTERPRISE
0540397170,NWATECH ENTERPRISE
0598995119,R.K.F ENTERPRISE
0598597029,W. OKYERE ENTERPRISE
0554508561,YAGO LIGHT
0598549035,TOP SHOWERS PLUMBING WORK
0555876734,KAZUMA ENTERPRISE
0546409771,BE-NIZE ENTERPRISE
0598637404,EMMA TILES ENTERPRISE
0597421620,KPATALI ENTERPRISE
0555189626,DANTUT ENTERPRISE
0241420554,DORIJOE VENTURES
0597402391,EL-SAM ARTHUR VENTURES
0597407991,NAZ DEE ROYAL ENTERPRISE
0241731130,RESURRECTION POWER BUSINESS CENTER
0207003999,DOMINIC OPPONG INVESTMENT
0267251703,DOMINIC OPPONG INVESTMENT
0240603421,GOD'S WILL TILES
0244714362,GOD'S WILL TILES
0559051314,EF PREMIUM TRADING ENTERPRISE
0242040657,LET YOUR LIGHT SHINE ENTERPRISE
0552744248,BRUCE MIKY ENTERPRISE
0598545660,ESIACK ENTERPRISE
0243299183,JOSACO ENTERPRISE
0597383177,K-SANPAS ENTERPRISE
0598884353,K.NTIAMOAH ENTERPRISE
0248090246,CENTRICH
0248594938,JOHN THE BAPTIST ENTERPRISE
0530471027,NAVIAN ENTERPRISE
0557965874,JOYCE PRESTIGE ENTERPRISE
0245725195,DANELO ENTERPRISE
0244218921,KEL DEE-DOR ENTERPRISE
0549295597,HOMEBUILDER'S ENTERPRISE
0247277180,DIAMONDSTEP GHANA LITIMED
0597386549,BOA TRUST REALTY AGENCY
0558888039,VEROWOE ENTERPRPISE
0240702288,GODEL WARE
0247274469,KAFRAYS ENTERPRISE
0596317983,YRAM J ENTERPRISE
0249113683,SAHAIB ENTERPRISE
0596317524,WILAGO MOTORS & TRADING COMPANY LIMITED
0558296234,GIBSADO ENTERPRISE
0597229199,HAMOFEX HARDWARE & ELECTRICALS
0554921619,A. SUPREME ANNOINTED LADY
0598867511,NANA TANO ENTERPRISE
0557940090,TIKA GROUP OF COMPANIES LIMITED
0558533056,WILSBURG WINDOWS AND DOORS (GH) LTD
0245878898,GATEWAY EXPRESS SUPPLIER
0245886397,BB BILLY ENTERPRISE
0597 389817,MAX BUILDER'S PLACE
0541579278,THE SUCCESS MAN ENTERPRISE
0598632128,NEKWOOD ENTERPRISE
0593043432,FRENKATE VENTURES
0594668321,NII DORTEY ENTERPRISE
0247696449,TESPONG VENTURES
0245836056,MILDSOLLACE VENTURES
0597435318,LIBERTYPOWERS INVESTMENT LIMITED
0598956947,RICHADAS ENTERPRISE
0551444905,E.E.M.E ENTERPRISE
0245923209,MARRKS (C) VENTURES
0243531641,LIDIS VENTURES
0596322029,MAFKO ENTERPRISE
0557953447,REGIINOLD VENTURES
0594667267,SUPER JUSTICE ENTERPRISE
0530464191,DE-MINGOS ENTERPRISE
0541437078,RAKELINA ENTERPRISE
0241992047,PETTINAPO ENTERPRISE
0540314598,BIGEMMAB VENTURES
0593961096,NAK'S TK ENTERPRISE
0598613156,ERIC ADAMS PLUMBING WORKS
0530465586,RASTEP CONSTRUCTION
0245481847,BUY-WELL TRADING ENTERPRISE
0598551242,CAROL KAF ENTERPRISE
0530421457,WACANDIGLO ENTERPRISE
0555072211,DS BESTWAY ENTERPRISE
0244661643,JUDACO LIMITED
0598634764,MIKCOM TRADE LIMITED
0595008489,HIGHGRADE DECOR ENTERPRISE
0598953261,GOSHEN PLUS ENTERPRISE
0598618712,UNIVERSAL TILES COMPANY LIMITED
0598972578,ADM ADSTEP VENTURES
0546264345,GOSPELS ENTERPRISE
0558661481,KENNY PLUS VENTURES
0597440350,ADELAI PLUS
0545903213,AGGREMARCE ENTERPRISE
0248364867,CRYSTAL WOOD AND CONSTRUCTION ENTERPRISE
0205823784,BBK-OSBO TRADING ENTERPRISE
0530464205,BERENSAH VENTURES
0546811304,NATTIMS ENTERPRISE
0541818542,W&K TRADING LIMITED
0551840843,MEK KUDOS LIMITED
0549549665,KING OF THE UNIVERSE
0246773435,EMMANABS ENTERPRISE
0244478927,STEKESS COMPANY LIMITED
0242444408,LARKWAPS ENTERPRISES LIMITED
0249870839,E.BENTSIWA MEMORIAL VENTURES
0246739043,E.BENTSIWA MEMORIAL VENTURES
O595862386,M J KINGDOM ENTERPRISE
0243183457,KUUKUA STORES
0557953846,CHRISTIAN AWUAKYE VENTURES
0549241134,DB BA ENTERPRISE
0242833693,TOP TURN TRADING LIMITED
0240029342,KAPS BLUE ENTERPRISE
0247684492,ROYAL ESSENTIALS LIMITED
0558518710,FRANGELO ENTERPRISE
0598875619,LNB HARDWARE DEPOT ENTERPRISE
0591452191,ASANKO HERITAGE ENTERPRISE
0546816089,STELU ENTERPRISE
0245652575,NANA ABROKWAH TRADING ENTERPRISE
0591443672,DOVE - SIKA WO FIE
0599004489,FASTINKER VENTURES
0242738692,ERITRACO ENTERPRISE
0546551641,BEN LARBI VENTURES
0555488041,JOGIO DECOR
0557960938,JOSMAGSONS ENTERPRISE
0597421931,COYABS EXPRESS LIMITED
0240095108,KENDA ONE VENTURES
0542268333 ,LUCY CONSTRUCTION & TRADING ENTERPRISE
0598641085  ,RACE COURSE TILES AND GENERAL GOODS
0546906259,NEWNESS V
0598554294,BUILDRIT 360 TRADING ENTERPRISE
0598641572,PJ EMPIRE
0557921537,GOD'S ITEMS ENTERPRISE
0548787011,MANSION HARDWARE ENTERPRISE
0245975068,SAG- AN LIMITED.
0598875603,TEOMAANA ENTERPRISE
0547007630,JAK-D ELECTRICALS LIMITED
0598876201,EMMA KOOMSON ENTERPRISE
0540276546,GOMA TEN ENTERPRISE
0555504062,RAYCONA ONE ENTERPRISE
0208259370,ESSOBAWILS ENTERPRISE
0245919116,PHILVERSON LIMITED
0598953079,SELSEL ENTERPRISE
0557921795,NOMAT VENTURES
0541946138,DOWOMANN VENTURES
0557921536,OSEIKROM HARDWARE ENTERPRISE
0242550369,GREAT TRADE VENTURES
0245251393,SMART LINKS INVESTMENTS (GH) LIMITED
0598636753,DOXAWAY COMPANY LIMITED
0557247715,ABRAMPAT VENTURES
0558797114,Y. DANQUAH ENTERPRISE
0558679716,NOTAFAM VENTURES
0246635508,EBCONA ENTERPRISE
0594668747,RICHMARA ENTERPRISE
0598875589,A J EBENZLOVE ENTERPRISE
0559042576,M. M. PLUS PARTNERSHIP
0598962672,THEOMIRA PREMIUM
0241750373,BUILDRITE HARDWARE
0240085016,MINKA YAKUBU ENTERPRISE
0240067726 ,EAST HOME ENTERPRISE
0594669486,VIDYZ VENTURES
0541981123,WOFA ASARE TRADING ENTERPRISE
0549512149,Q-SAMMICO ENTERPRISE